date,nifty_open,nifty_high,nifty_low,nifty_close,vix_open,vix_high,vix_low,vix_close,nifty_range,nifty_pct_chg,vix_range,vix_pct_chg,nifty_direction,vix_regime
2025-10-28,25939.95,26041.7,25810.05,25965.4,11.86,12.64,10.71,11.92,231.65000000000146,0.09811121455516325,1.9299999999999997,0.5059021922428464,FLAT,Low
2025-10-29,25982.0,26097.85,25960.3,26068.3,11.95,12.1,11.23,11.98,137.54999999999927,0.33215302902009913,0.8699999999999992,0.2510460251046176,UP,Low
2025-10-30,25984.4,26032.05,25845.25,25891.2,11.97,12.27,11.71,12.03,186.79999999999927,-0.35867674450824616,0.5599999999999987,0.5012531328320691,DOWN,Normal
2025-10-31,25863.8,25953.75,25711.2,25732.55,12.07,12.29,11.77,12.19,242.54999999999927,-0.5074660336068182,0.5199999999999996,0.9942004971002394,DOWN,Normal
2025-11-03,25696.85,25803.1,25645.5,25774.3,12.15,12.94,11.79,12.6,157.59999999999854,0.30139880958173215,1.1500000000000004,3.703703703703698,UP,Normal
2025-11-04,25744.75,25787.4,25578.4,25586.25,12.67,12.94,10.98,12.67,209.0,-0.615659503393895,1.959999999999999,0.0,DOWN,Normal
2025-11-06,25593.35,25679.15,25491.55,25519.95,12.65,12.87,12.06,12.08,187.60000000000218,-0.28679324902757264,0.8099999999999987,-4.5059288537549484,DOWN,Normal
2025-11-07,25433.8,25551.25,25318.45,25510.05,12.41,12.67,11.96,12.44,232.79999999999927,0.29979790672254314,0.7099999999999991,0.241740531829171,UP,Normal
2025-11-10,25503.5,25653.45,25503.5,25574.25,12.56,12.93,11.41,12.32,149.95000000000073,0.2774129041112072,1.5199999999999996,-1.9108280254777066,UP,Normal
2025-11-11,25617.0,25715.8,25449.25,25705.55,12.3,13.01,11.99,12.49,266.5499999999993,0.34566889175156046,1.0199999999999996,1.5447154471544655,UP,Normal
2025-11-12,25834.3,25934.55,25781.15,25874.0,12.49,12.71,11.44,12.18,153.39999999999782,0.1536716690601292,1.2700000000000014,-2.481985588470781,UP,Normal
2025-11-13,25906.1,26010.7,25808.4,25884.1,12.11,12.27,11.23,12.1,202.29999999999927,-0.08492208398793721,1.0399999999999991,-0.08257638315442017,FLAT,Normal
