entry_time,exit_time,direction,entry_price,exit_price,exit_reason,points,pnl_pct,score,pillars_fired
2025-08-04 09:30:00+05:30,2025-08-04 09:45:00+05:30,short,24656.55,24582.58035,tp,73.96964999999909,0.2999999999999963,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-08-05 11:15:00+05:30,2025-08-05 15:25:00+05:30,long,24640.55,24649.5,eod,8.950000000000728,0.03632224118374277,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-08-05 12:10:00+05:30,2025-08-05 15:25:00+05:30,long,24658.1,24649.5,eod,-8.599999999998545,-0.034876977544898206,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-08-05 12:40:00+05:30,2025-08-05 15:25:00+05:30,long,24649.95,24649.5,eod,-0.4500000000007276,-0.0018255615122981085,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-08-06 09:30:00+05:30,2025-08-06 10:35:00+05:30,long,24644.35,24570.41695,sl,-73.93304999999964,-0.29999999999999855,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-08-06 12:20:00+05:30,2025-08-06 15:25:00+05:30,long,24612.7,24569.6,eod,-43.10000000000218,-0.1751128482450206,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-08-06 13:00:00+05:30,2025-08-06 15:25:00+05:30,long,24612.6,24569.6,eod,-43.0,-0.17470726375921278,4.0,"['sr_alignment', 'volume_node_alignment', 'multi_tf_confluence']"
2025-08-08 09:30:00+05:30,2025-08-08 10:30:00+05:30,long,24509.25,24435.72225,sl,-73.5277500000011,-0.30000000000000454,4.0,"['sr_alignment', 'fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-08-12 10:45:00+05:30,2025-08-12 14:40:00+05:30,short,24582.35,24508.602949999997,tp,73.74705000000176,0.3000000000000072,4.0,"['sr_alignment', 'volume_node_alignment', 'fib_alignment', 'fvg_overlap']"
2025-08-12 13:15:00+05:30,2025-08-12 14:40:00+05:30,long,24576.75,24503.01975,sl,-73.73025000000052,-0.30000000000000215,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-08-13 09:45:00+05:30,2025-08-13 15:25:00+05:30,short,24590.95,24630.4,eod,-39.45000000000073,-0.16042487175160264,4.0,"['sr_alignment', 'volume_node_alignment', 'multi_tf_confluence']"
2025-08-13 10:25:00+05:30,2025-08-13 15:25:00+05:30,short,24592.0,24630.4,eod,-38.400000000001455,-0.1561483409238836,4.0,"['sr_alignment', 'volume_node_alignment', 'multi_tf_confluence']"
2025-08-13 12:20:00+05:30,2025-08-13 15:25:00+05:30,short,24592.7,24630.4,eod,-37.70000000000073,-0.15329752324877188,4.0,"['sr_alignment', 'volume_node_alignment', 'multi_tf_confluence']"
2025-08-18 13:25:00+05:30,2025-08-18 15:25:00+05:30,long,24928.85,24884.05,eod,-44.79999999999927,-0.17971145881177542,4.0,"['sr_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-08-18 13:55:00+05:30,2025-08-18 15:25:00+05:30,long,24919.7,24884.05,eod,-35.650000000001455,-0.14305950713692964,4.0,"['sr_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-08-22 09:30:00+05:30,2025-08-22 14:30:00+05:30,short,24964.5,24889.6065,tp,74.89349999999831,0.2999999999999932,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-08-22 10:00:00+05:30,2025-08-22 14:30:00+05:30,short,24959.35,24884.47195,tp,74.87804999999935,0.2999999999999974,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-08-22 11:55:00+05:30,2025-08-22 14:30:00+05:30,short,24950.75,24875.89775,tp,74.85224999999991,0.29999999999999966,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-08-25 09:30:00+05:30,2025-08-25 15:25:00+05:30,short,24957.3,24978.55,eod,-21.25,-0.08514542839169302,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-08-25 10:50:00+05:30,2025-08-25 15:25:00+05:30,short,24954.8,24978.55,eod,-23.75,-0.09517207110455704,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-08-26 09:55:00+05:30,2025-08-26 15:00:00+05:30,short,24795.7,24721.3129,tp,74.38709999999992,0.29999999999999966,4.0,"['sr_alignment', 'fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-08-26 10:25:00+05:30,2025-08-26 15:00:00+05:30,short,24797.1,24722.7087,tp,74.39129999999932,0.29999999999999727,4.0,"['sr_alignment', 'fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-08-28 09:45:00+05:30,2025-08-28 10:45:00+05:30,short,24559.3,24632.977899999998,sl,-73.67789999999877,-0.299999999999995,4.0,"['fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
