date,weekday,day_open,day_high,day_low,day_close,prev_close,prev_high,prev_low,pivot_PP,pivot_R1,pivot_S1,pivot_R2,pivot_S2,pivot_R3,pivot_S3,cam_R1,cam_S1,cam_R2,cam_S2,cam_R3,cam_S3,cam_R4,cam_S4,or15_high,or15_low,or30_high,or30_low
2026-02-09,Monday,25888.7,25922.25,25780.9,25863.3,25673.6,25703.95,25491.9,25623.15,25754.4,25542.35,25835.2,25411.1,25966.45,25330.3,25693.04,25654.16,25712.48,25634.72,25731.91,25615.29,25790.23,25556.97,25922.25,25793.3,25922.25,25780.9
2026-02-10,Tuesday,25922.65,25989.45,25870.45,25916.8,25863.3,25922.25,25780.9,25855.48,25930.07,25788.72,25996.83,25714.13,26071.42,25647.37,25876.26,25850.34,25889.21,25837.39,25902.17,25824.43,25941.04,25785.56,25934.95,25870.45,25953.2,25870.45
2026-02-11,Wednesday,25997.45,26009.4,25899.8,25945.35,25916.8,25989.45,25870.45,25925.57,25980.68,25861.68,26044.57,25806.57,26099.68,25742.68,25927.71,25905.89,25938.62,25894.98,25949.52,25884.08,25982.25,25851.35,26009.4,25942.45,26009.4,25923.5
2026-02-12,Thursday,25906.7,25906.7,25752.4,25796.15,25945.35,26009.4,25899.8,25951.52,26003.23,25893.63,26061.12,25841.92,26112.83,25784.03,25955.4,25935.3,25965.44,25925.26,25975.49,25915.21,26005.63,25885.07,25906.7,25827.85,25906.7,25822.3
2026-02-13,Friday,25571.15,25630.35,25444.3,25460.55,25796.15,25906.7,25752.4,25818.42,25884.43,25730.13,25972.72,25664.12,26038.73,25575.83,25810.29,25782.01,25824.44,25767.86,25838.58,25753.72,25881.01,25711.29,25630.35,25558.3,25630.35,25525.45
2026-02-16,Monday,25423.6,25697.0,25372.7,25682.45,25460.55,25630.35,25444.3,25511.73,25579.17,25393.12,25697.78,25325.68,25765.22,25207.07,25477.6,25443.5,25494.66,25426.44,25511.71,25409.39,25562.88,25358.22,25496.9,25372.7,25528.45,25372.7
2026-02-17,Tuesday,25637.95,25764.4,25570.3,25716.0,25682.45,25697.0,25372.7,25584.05,25795.4,25471.1,25908.35,25259.75,26119.7,25146.8,25712.18,25652.72,25741.9,25623.0,25771.63,25593.27,25860.81,25504.09,25664.85,25570.3,25664.85,25570.3
2026-02-18,Wednesday,25752.65,25828.05,25645.15,25805.7,25716.0,25764.4,25570.3,25683.57,25796.83,25602.73,25877.67,25489.47,25990.93,25408.63,25733.79,25698.21,25751.58,25680.42,25769.38,25662.62,25822.76,25609.24,25759.75,25697.75,25759.75,25697.75
2026-02-19,Thursday,25873.35,25885.3,25388.75,25416.45,25805.7,25828.05,25645.15,25759.63,25874.12,25691.22,25942.53,25576.73,26057.02,25508.32,25822.47,25788.93,25839.23,25772.17,25856.0,25755.4,25906.29,25705.11,25885.3,25806.4,25885.3,25773.4
2026-02-20,Friday,25406.55,25663.55,25379.75,25565.9,25416.45,25885.3,25388.75,25563.5,25738.25,25241.7,26060.05,25066.95,26234.8,24745.15,25461.97,25370.93,25507.48,25325.42,25553.0,25279.9,25689.55,25143.35,25485.85,25379.75,25490.65,25379.75
