trade_date,expiry,days_to_expiry,entry_ts,side,strike,entry_spot,range_5m_at_entry,entry_premium,lots,qty,exit_ts,exit_premium,exit_spot,exit_reason,minutes_held,net_pnl,return_pct
2025-10-28,28_OCT_25,0,2025-10-28T13:43:00+05:30,CE,25900,25893.0,37.85,35.0,8,520,2025-10-28T13:46:00+05:30,24.3,25871.8,SL,3,-5676.0,-30.81
2025-10-28,28_OCT_25,0,2025-10-28T14:04:00+05:30,CE,25850,25857.9,36.35,33.5,9,585,2025-10-28T14:14:00+05:30,45.2,25873.7,TP,10,6726.0,34.58
2025-10-28,28_OCT_25,0,2025-10-28T14:26:00+05:30,CE,25800,25816.7,34.9,42.65,7,455,2025-10-28T14:45:00+05:30,57.2,25849.7,TP,19,6514.75,33.84
2025-10-29,04_NOV_25,6,2025-10-29T09:35:00+05:30,CE,26000,25980.8,41.65,181.6,1,65,2025-10-29T10:32:00+05:30,237.2,26057.05,TP,57,3547.5,30.55
2025-10-29,04_NOV_25,6,2025-10-29T10:33:00+05:30,PE,26050,26060.8,30.85,111.3,2,130,2025-10-29T15:25:00+05:30,105.9,26068.2,EOD,292,-775.0,-4.94
2025-10-30,04_NOV_25,5,2025-10-30T09:33:00+05:30,CE,25950,25941.65,37.4,150.1,2,130,2025-10-30T13:32:00+05:30,108.7,25877.0,SL,239,-5455.0,-27.64
2025-10-30,04_NOV_25,5,2025-10-30T14:21:00+05:30,PE,25900,25906.55,31.6,96.65,3,195,2025-10-30T15:25:00+05:30,99.8,25887.65,EOD,64,534.75,3.15
2025-10-31,04_NOV_25,4,2025-10-31T09:34:00+05:30,PE,25950,25947.3,32.4,90.25,3,195,2025-10-31T10:07:00+05:30,118.65,25882.65,TP,33,5458.5,31.34
2025-10-31,04_NOV_25,4,2025-10-31T10:08:00+05:30,CE,25850,25869.5,33.75,145.25,2,130,2025-10-31T10:31:00+05:30,108.05,25811.05,SL,23,-4909.0,-25.67
2025-10-31,04_NOV_25,4,2025-10-31T10:45:00+05:30,PE,25800,25823.65,30.1,79.85,3,195,2025-10-31T11:01:00+05:30,104.6,25777.9,TP,16,4746.75,30.85
2025-10-31,04_NOV_25,4,2025-10-31T12:14:00+05:30,CE,25800,25798.15,31.15,118.9,2,130,2025-10-31T15:25:00+05:30,106.2,25724.0,EOD,191,-1724.0,-10.76
